DATE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
01/01/2008,-12,-11,-8,-7,-5,-3,-5,-6,-5,-5,-7,-7,-6,-7,-6,-8,-8,-7,-6,-4,-5,-3,-3,-3.0
02/01/2008,-1,0,-1,1,4,3,3,4,4,7,5,4,4,3,3,2,0,4,5,6,6,5,1,-7.0
03/01/2008,-7,-7,-5,-5,-4,-3,-2,-2,1,2,2,1,1,-1,1,0,1,4,4,4,4,4,3,3.0
04/01/2008,4,6,9,8,6,6,4,4,4,4,5,7,8,6,7,13,13,14,13,13,16,16,21,37.0
05/01/2008,31,21,20,10,11,11,15,16,2,-17,-8,-1,-6,-14,-15,-20,-17,-12,-6,-13,-16,-25,-25,-14.0
06/01/2008,-5,-6,-9,-15,-18,-16,-18,-22,-23,-29,-26,-20,-16,-16,-16,-20,-22,-21,-19,-19,-18,-21,-23,-25.0
07/01/2008,-21,-22,-26,-30,-24,-26,-28,-27,-24,-22,-23,-22,-20,-25,-22,-20,-19,-17,-16,-17,-18,-19,-20,-17.0
08/01/2008,-15,-15,-16,-15,-16,-14,-15,-13,-17,-22,-25,-20,-17,-18,-24,-25,-26,-25,-25,-26,-26,-20,-21,-22.0
09/01/2008,-23,-22,-24,-23,-21,-20,-20,-23,-21,-21,-22,-21,-21,-21,-20,-18,-15,-17,-19,-20,-18,-18,-18,-16.0
10/01/2008,-17,-14,-13,-11,-12,-10,-11,-10,-11,-13,-15,-16,-17,-17,-14,-10,-9,-9,-10,-10,-7,-8,-12,-15.0
11/01/2008,-17,-14,-11,-11,-10,-10,-9,-11,-13,-14,-16,-14,-11,-11,-9,-12,-12,-14,-17,-17,-17,-13,-12,-10.0
12/01/2008,-8,-8,-6,-4,0,1,3,7,4,4,4,5,11,10,3,-6,-17,-27,-27,-21,-19,-20,-21,-24.0
13/01/2008,-27,-25,-20,-17,-17,-18,-21,-21,-19,-18,-16,-12,-15,-24,-30,-19,-20,-29,-34,-34,-27,-19,-23,-26.0
14/01/2008,-23,-19,-20,-20,-16,-12,-15,-23,-19,-15,-21,-25,-21,-14,-8,-9,-8,-13,-17,-17,-17,-16,-21,-20.0
15/01/2008,-17,-15,-15,-13,-12,-10,-11,-12,-15,-16,-18,-20,-19,-19,-19,-17,-13,-11,-12,-14,-13,-13,-16,-19.0
16/01/2008,-19,-15,-15,-12,-12,-17,-19,-17,-13,-12,-17,-13,-14,-14,-13,-13,-11,-12,-12,-12,-16,-20,-19,-15.0
17/01/2008,-11,-11,-11,-10,-6,-7,-8,-11,-12,-11,-11,-11,-14,-17,-12,-9,-8,-8,-8,-8,-13,-12,-10,-7.0
18/01/2008,-1,-3,-8,-14,-13,-9,-8,-12,-14,-14,-15,-12,-13,-12,-16,-22,-29,-26,-25,-26,-23,-18,-16,-17.0
19/01/2008,-15,-11,-8,-8,-11,-14,-16,-16,-15,-13,-15,-15,-18,-17,-14,-16,-21,-21,-21,-19,-19,-17,-16,-14.0
